id,is_humor,humor_rating,humor_controversy,offense_rating
9001,1,2.445921421,0,1.024383903
9002,0,1.831607819,0,0.228565976
9003,1,3.209699631,0,0.75266403
9004,1,2.139818668,0,0.967735112
9005,1,2.727831125,0,0.099159993
9006,1,2.049091578,1,0.252100348
9007,1,2.006096601,0,0.064587571
9008,1,1.848622203,1,0.718930125
9009,1,2.562333822,1,0.363115698
9010,1,2.36581254,1,2.250824213
9011,1,1.865639925,0,0.085873477
9012,0,1.624561191,0,0.590693116
9013,0,2.417348862,0,0.015526162
9014,0,1.691740155,0,0.103344634
9015,0,2.417363644,1,0.06152945
9016,1,2.104195833,0,0.09156964
9017,1,3.005249262,1,1.886600375
9018,1,2.198784828,0,0.692094266
9019,0,2.104598522,1,0.265371144
9020,0,1.442439198,1,0.121620052
9021,0,2.027846098,0,0.06624712
9022,0,1.923398972,1,0.035686713
9023,1,2.729112625,1,0.134224579
9024,1,2.901324749,1,1.059504151
9025,0,1.774756193,0,0.150194019
9026,0,1.953579783,0,0.463245809
9027,0,2.000564098,1,-0.000746095
9028,1,2.035808325,1,3.21420455
9029,1,2.475554466,1,1.735724926
9030,1,2.543893099,1,0.06171526
9031,0,2.862928629,0,0.02862935
9032,1,2.652515173,0,1.667963624
9033,1,1.611779571,0,3.623350143
9034,1,2.787715197,0,0.184656203
9035,1,1.947984695,1,0.043696012
9036,1,1.713172197,0,2.686146259
9037,1,2.716842413,1,2.825543642
9038,1,2.904143572,1,0.27915749
9039,1,2.153229713,0,0.547590494
9040,1,1.93829906,0,2.938546896
9041,0,1.735005021,0,0.308353215
9042,1,2.512560606,0,0.3177917
9043,1,2.764594078,1,0.323791385
9044,0,1.736698031,0,0.017711753
9045,1,3.027293444,1,0.033076923
9046,0,2.628509998,0,0.182060182
9047,0,3.022560596,1,0.018768612
9048,0,2.108728647,0,0.011389414
9049,1,2.888967037,0,0.102885529
9050,1,2.356480122,1,0.995959818
9051,1,2.685892344,1,0.12130788
9052,0,1.27979362,0,0.04858556
9053,1,2.036151886,0,0.409272969
9054,1,2.451141119,1,0.107592039
9055,0,1.20255661,0,0.900203109
9056,1,2.60841012,0,0.300260514
9057,1,1.854543805,0,1.082312107
9058,1,2.227809429,1,1.33029747
9059,1,2.520584106,1,0.099204145
9060,1,2.040958405,1,0.12509577
9061,1,2.562141895,1,0.038676802
9062,1,2.583028555,1,0.548197031
9063,1,2.433382988,0,0.066606618
9064,1,2.362104893,1,0.051505845
9065,1,2.057063341,1,3.094509602
9066,0,1.395903349,0,0.051148381
9067,0,2.328912258,0,0.129239157
9068,1,2.734647274,1,0.391931295
9069,0,1.659952521,0,0.046727184
9070,1,2.853253841,1,0.841170609
9071,1,3.008627892,0,0.114441313
9072,0,1.830683947,0,0.023919377
9073,0,2.288849592,1,0.054281179
9074,0,2.41149044,0,-0.012758309
9075,0,2.586470127,1,0.023574982
9076,1,2.516716719,1,2.039613485
9077,1,3.089581728,1,0.146875128
9078,1,2.564750671,0,0.309736043
9079,1,1.942944288,1,3.2030375
9080,1,3.092024565,1,0.603786051
9081,0,2.270262241,0,-0.002756628
9082,0,1.442842007,1,0.103082046
9083,1,2.781049967,1,2.126605988
9084,0,1.90097487,0,0.319505095
9085,0,2.381907225,1,0.377411067
9086,1,2.163784504,0,0.164366052
9087,0,2.164220095,0,0.066935025
9088,0,1.937231898,1,0.168308422
9089,1,2.612498283,1,0.122849949
9090,0,1.860670805,1,0.014667882
9091,0,2.30923748,0,0.032040395
9092,1,2.758231163,0,1.508320332
9093,1,2.757175446,1,1.468254924
9094,0,2.319666386,0,-0.004737246
9095,0,1.3638767,0,0.090257056
9096,1,1.728832722,1,3.668465614
9097,1,1.74315083,1,0.071778968
9098,1,2.828283787,1,0.854632318
9099,1,2.464450121,0,0.068646535
9100,0,2.193919659,0,0.045251675
9101,1,2.1672225,1,0.480457366
9102,0,1.726222873,0,0.495316446
9103,1,1.92375505,0,0.285859406
9104,1,2.459215879,1,3.611448288
9105,1,2.774327993,0,0.105330341
9106,1,2.297257662,0,0.478722662
9107,1,2.956897497,1,0.090357862
9108,1,3.142635822,0,0.424194932
9109,1,2.201479912,0,0.041219812
9110,1,2.690287113,0,0.691448152
9111,1,2.244913816,0,1.27801168
9112,1,2.638380289,1,1.629986286
9113,1,2.133704662,1,0.290133148
9114,1,2.936321259,1,0.332870424
9115,1,2.086471558,1,0.111604407
9116,0,1.453213811,0,0.324740678
9117,0,2.645512342,0,0.008837578
9118,0,1.757722616,1,0.778715849
9119,1,1.899256706,1,2.116699457
9120,0,1.79968679,1,0.076803818
9121,1,2.64640975,1,0.109935954
9122,1,1.96108377,0,0.080388345
9123,0,1.885048866,0,0.160936967
9124,1,2.981091976,1,0.118669443
9125,1,2.399696827,1,0.22145243
9126,1,2.277326584,0,0.119214155
9127,0,2.360455275,0,0.015730942
9128,1,1.438730597,0,0.145412326
9129,0,1.880928874,0,0.002410768
9130,1,1.716052413,0,0.845739603
9131,0,1.562380433,1,0.574790061
9132,0,2.601172686,0,0.01620809
9133,1,1.785824776,1,3.7712605
9134,0,2.605883837,0,0.004866333
9135,1,2.573076725,0,0.475770086
9136,0,1.62100029,0,0.16414237
9137,1,2.572766781,1,0.705589831
